time (EST),other megawatthours (MWh),wind megawatthours (MWh),solar megawatthours (MWh),hydro megawatthours (MWh),petroleum products megawatthours (MWh),natural gas megawatthours (MWh),coal megawatthours (MWh),nuclear megawatthours (MWh)
03/ 7/2023 00H,589,647,27,743,0,4742,6,3342
03/ 6/2023 23H,597,773,27,751,0,5762,5,3330
03/ 6/2023 22H,603,662,27,887,0,6451,5,3337
03/ 6/2023 21H,593,799,30,1132,0,7110,4,3341
03/ 6/2023 20H,600,781,30,1667,0,7269,3,3352
03/ 6/2023 19H,597,775,30,1951,0,7320,2,3357
03/ 6/2023 18H,584,800,42,1550,0,6978,1,3380
03/ 6/2023 17H,575,783,148,769,0,5987,2,3374
03/ 6/2023 16H,569,776,247,704,0,4642,2,3379
03/ 6/2023 15H,562,785,272,692,0,4130,3,3356
03/ 6/2023 14H,562,802,349,697,0,3913,0,3352
03/ 6/2023 13H,551,744,419,670,0,3611,0,3353
03/ 6/2023 12H,548,668,419,649,0,3622,0,3366
03/ 6/2023 11H,545,448,402,663,0,3591,1,3340
03/ 6/2023 10H,544,718,361,779,0,3889,0,3342
03/ 6/2023 09H,561,746,263,872,0,4913,1,3345
03/ 6/2023 08H,564,1013,116,1280,0,5561,2,3340
03/ 6/2023 07H,571,1014,15,949,0,5880,0,3399
03/ 6/2023 06H,564,1005,7,748,0,4475,0,3385
03/ 6/2023 05H,546,1004,7,721,0,3684,1,3366
03/ 6/2023 04H,545,1004,7,719,0,3394,3,3356
03/ 6/2023 03H,556,1010,7,695,0,3348,0,3359
03/ 6/2023 02H,552,998,7,710,0,3382,0,3360
03/ 6/2023 01H,547,998,7,718,0,3454,0,3354
03/ 6/2023 00H,551,994,7,791,0,3663,0,3340
03/ 5/2023 23H,555,1007,7,837,0,4144,0,3338
03/ 5/2023 22H,552,1018,7,866,0,4770,1,3333
03/ 5/2023 21H,565,1025,7,917,0,5481,2,3342
03/ 5/2023 20H,568,1013,8,1068,0,5829,1,3341
03/ 5/2023 19H,581,1022,8,1353,0,5752,1,3364
03/ 5/2023 18H,588,1005,17,1068,0,5091,0,3388
03/ 5/2023 17H,592,980,68,872,0,4237,0,3386
03/ 5/2023 16H,592,916,166,723,0,3304,1,3368
03/ 5/2023 15H,579,863,180,687,0,3313,1,3360
03/ 5/2023 14H,569,672,262,664,0,3117,1,3337
03/ 5/2023 13H,572,736,298,695,0,3356,0,3346
03/ 5/2023 12H,581,643,309,706,0,3343,0,3349
03/ 5/2023 11H,593,500,304,714,0,3328,0,3358
03/ 5/2023 10H,589,539,177,766,0,3902,0,3338
03/ 5/2023 09H,597,496,102,857,0,4181,0,3351
03/ 5/2023 08H,586,571,48,875,0,4073,1,3358
03/ 5/2023 07H,592,587,9,831,0,4002,1,3348
03/ 5/2023 06H,594,558,7,677,0,4000,0,3346
03/ 5/2023 05H,589,538,7,657,0,3825,0,3349
03/ 5/2023 04H,602,486,7,657,0,3909,0,3346
03/ 5/2023 03H,609,503,7,662,0,3915,1,3339
03/ 5/2023 02H,610,463,7,678,0,3977,1,3331
03/ 5/2023 01H,627,471,7,727,0,4063,3,3362
